"death","houseVal","poorRate","elevation","density"
144,3.788,0.075,0,101
205,4.238,0.143,1.09861228866811,19
164,3.318,0.089,1.09861228866811,180
161,3.077,0.134,1.09861228866811,66
181,4.559,0.079,1.6094379124341,114
153,5.291,0.076,1.6094379124341,141
68,4.189,0.039,1.6094379124341,70
120,4.389,0.072,1.79175946922805,34
97,4.508,0.038,1.94591014905531,12
75,3.379,0.081,2.39789527279837,18
71,7.36,0.06,2.56494935746154,15
46,4.209,0.067,2.70805020110221,62
33,5.07,0.039,2.70805020110221,11
42,4.753,0.08,2.89037175789616,195
47,3.319,0.066,2.94443897916644,85
28,8.875,0.018,3.09104245335832,65
100,4.839,0.072,3.2188758248682,4
96,7.454,0.067,3.43398720448515,212
64,3.388,0.075,3.43398720448515,194
30,4.824,0.049,3.43398720448515,2
37,11.844,0.039,3.63758615972639,81
90,1.48,0.136,3.66356164612965,115
38,17.676,0.056,3.71357206670431,129
45,4.823,0.088,3.80666248977032,284
16,12.669,0.023,3.8286413964891,222
76,3.103,0.082,3.93182563272433,161
34,3.731,0.081,3.93182563272433,242
8,16.755,0.018,3.95124371858143,57
35,7.374,0.047,3.97029191355212,254
35,5.883,0.034,4.02535169073515,235
25,4.397,0.074,4.06044301054642,14
19,4.138,0.057,4.18965474202643,202
53,5.635,0.052,4.26267987704132,221
8,9.349,0.039,4.36944785246702,32
22,4.871,0.042,4.4188406077966,59
22,5.494,0.03,4.51085950651685,28
17,7.586,0.043,4.63472898822964,102
8,5.805,0.045,5.8664680569333,5
